station_id,stationCode_info,name,lat,lon,capacity,station_opening_hours_info,rental_methods/0,num_bikes_available,numBikesAvailable,mechanical_bikes,ebikes,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode_status,station_opening_hours_status,availability_rate,occupancy_rate,availability_status,ebike_percentage,is_operational
101743895,15021,Joseph Liouville - Croix Nivert,48.844835471244416,2.297508493065834,64,,CREDITCARD,12,12,12,0,50,50,1,1,1,1776082040,15021,,18.75,21.88,Available,0.0,1
213691848,17105,Place Madeleine Daniélou,48.883498,2.282015,42,,,26,26,21,5,16,16,1,1,1,1776082067,17105,,61.9,61.9,Available,19.23,1
129011497,9010,Rochechouart lamartine,48.876719895109,2.344393021854,24,,CREDITCARD,11,11,5,6,13,13,1,1,1,1776082193,9010,,45.83,45.83,Available,54.55,1
76199461,18028,Championnet - Vauvenargues,48.89401874744574,2.3319872841238976,33,,CREDITCARD,3,3,2,1,27,27,1,1,1,1776082187,18028,,9.09,18.18,Low,33.33,1
54000601,18009,Jean-François Lépine - Stephenson,48.88611466796807,2.356855627529275,22,,CREDITCARD,3,3,0,3,19,19,1,1,1,1776081675,18009,,13.64,13.64,Low,100.0,1
213691137,17033,Carnot - Général Lanrezac,48.875443870736,2.2938242935036,30,,CREDITCARD,6,6,2,4,24,24,1,1,1,1776081894,17033,,20.0,20.0,Available,66.67,1
549876068,19032,Villette - Belleville,48.8726877314,2.376461327076,48,,CREDITCARD,2,2,1,1,45,45,1,1,1,1776082124,19032,,4.17,6.25,Low,50.0,1
1057774603,17125,Marie-Georges Picquart - Pereire,48.88863669349711,2.3111706599593163,32,,,4,4,1,3,28,28,1,1,1,1776082023,17125,,12.5,12.5,Low,75.0,1
82550543,16030,Place de Barcelone - Mirabeau,48.847623027364,2.2735664248466,55,,CREDITCARD,39,39,32,7,15,15,1,1,1,1776082043,16030,,70.91,72.73,Available,17.95,1
102749572,43005,Gare RER de Vincennes,48.847563015126106,2.433383166790009,51,,,36,36,11,25,14,14,1,1,1,1776082192,43005,,70.59,72.55,Available,69.44,1
390212609,16136,Théophile Gautier - François Millet,48.85034821320644,2.273029983043671,30,,,6,6,4,2,23,23,1,1,1,1776082127,16136,,20.0,23.33,Available,33.33,1
102338493,21701,Larmeroux - Baudelaire,48.816939911292,2.2809894804846,29,,,5,5,2,3,24,24,1,1,1,1776082018,21701,,17.24,17.24,Low,60.0,1
15462236,16008,Galilée - Kléber,48.867411865714,2.2907813801148,32,,CREDITCARD,31,31,1,30,1,1,1,1,1,1776082131,16008,,96.88,96.88,Available,96.77,1
27362896,22003,Beffroy,48.886591074488,2.2613945603371,26,,CREDITCARD,22,22,12,10,4,4,1,1,1,1776082044,22003,,84.62,84.62,Available,45.45,1
39254792,11024,Mairie du 11ème,48.858925,2.3789759,51,,CREDITCARD,6,6,4,2,44,44,1,1,1,1776082175,11024,,11.76,13.73,Available,33.33,1
63498079,19022,Marché Secrétan,48.88125496379482,2.373463287949562,26,,CREDITCARD,3,3,0,3,21,21,1,1,1,1776082109,19022,,11.54,19.23,Low,100.0,1
101024234,13050,Quai Panhard et Levassor,48.828374828097,2.3842737458056,57,,CREDITCARD,55,55,47,8,1,1,1,1,1,1776082167,13050,,96.49,98.25,Available,14.55,1
97677210,11105,Parmentier - République,48.8644954,2.3750124,50,,CREDITCARD,1,1,0,1,48,48,1,1,1,1776081923,11105,,2.0,4.0,Low,100.0,1
102331767,21008,Victor Hugo - Galliéni,48.838020154411,2.2460845112801,34,,CREDITCARD,11,11,9,2,23,23,1,1,1,1776081972,21008,,32.35,32.35,Available,18.18,1
875078767,20134,Lieutenant Chauré - Etienne Marey,48.86746195408435,2.405970990657807,20,,CREDITCARD,1,1,0,1,19,19,1,1,1,1776081949,20134,,5.0,5.0,Low,100.0,1
224256188,8056,Beaujon - Wagram,48.875352455985,2.2964416444302,29,,CREDITCARD,14,14,3,11,15,15,1,1,1,1776081927,8056,,48.28,48.28,Available,78.57,1
1558958733,24001,Arche - Léonard de Vinci,48.89790972494496,2.2383723043644914,28,,CREDITCARD,17,17,3,14,10,10,1,1,1,1776082126,24001,,60.71,64.29,Available,82.35,1
